key,filename,category,priority,seconds,label,prompt
"play-summon-joey","play-summon-joey.mp4","duelist","1","5","Joey Wheeler — Normal Summon","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a scruffy blond teenage boy with shaggy hair falling into his eyes, wearing an unzipped green jacket over a white shirt, restless and loose-limbed, slamming a card down into a Duel Disk slot and thrusting their arm forward; a column of light erupts from the disk as a monster hologram begins to form above it; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"play-summon-kaiba","play-summon-kaiba.mp4","duelist","1","5","Seto Kaiba — Normal Summon","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a tall, sharp-featured young man with short dark brown hair and cold pale blue eyes, wearing a long white high-collared coat whose collar flares up past his jaw, sleeves buckled at the wrists, slamming a card down into a Duel Disk slot and thrusting their arm forward; a column of light erupts from the disk as a monster hologram begins to form above it; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"play-summon-mai","play-summon-mai.mp4","duelist","1","5","Mai Valentine — Normal Summon","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a confident blonde woman with long wavy hair past her shoulders, wearing a sleeveless violet jacket and long fingerless gloves, one hip cocked, slamming a card down into a Duel Disk slot and thrusting their arm forward; a column of light erupts from the disk as a monster hologram begins to form above it; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"play-summon-yugi","play-summon-yugi.mp4","duelist","1","5","Yugi Muto — Normal Summon","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a slight teenage boy with dramatic star-shaped black hair tipped with magenta and blond bangs falling over his forehead, wearing a dark blue school jacket with a high collar and a large golden inverted-pyramid pendant on a chain around his neck, slamming a card down into a Duel Disk slot and thrusting their arm forward; a column of light erupts from the disk as a monster hologram begins to form above it; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"react-confident-joey","react-confident-joey.mp4","duelist","1","4","Joey Wheeler — Reaction — confident taunt","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close-up of a scruffy blond teenage boy with shaggy hair falling into his eyes, wearing an unzipped green jacket over a white shirt, restless and loose-limbed, smirking with absolute certainty, head tilted, holographic light flickering across their face as they speak; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"react-confident-kaiba","react-confident-kaiba.mp4","duelist","1","4","Seto Kaiba — Reaction — confident taunt","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close-up of a tall, sharp-featured young man with short dark brown hair and cold pale blue eyes, wearing a long white high-collared coat whose collar flares up past his jaw, sleeves buckled at the wrists, smirking with absolute certainty, head tilted, holographic light flickering across their face as they speak; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"react-confident-mai","react-confident-mai.mp4","duelist","1","4","Mai Valentine — Reaction — confident taunt","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close-up of a confident blonde woman with long wavy hair past her shoulders, wearing a sleeveless violet jacket and long fingerless gloves, one hip cocked, smirking with absolute certainty, head tilted, holographic light flickering across their face as they speak; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"react-confident-yugi","react-confident-yugi.mp4","duelist","1","4","Yugi Muto — Reaction — confident taunt","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close-up of a slight teenage boy with dramatic star-shaped black hair tipped with magenta and blond bangs falling over his forehead, wearing a dark blue school jacket with a high collar and a large golden inverted-pyramid pendant on a chain around his neck, smirking with absolute certainty, head tilted, holographic light flickering across their face as they speak; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"react-shocked-joey","react-shocked-joey.mp4","duelist","1","4","Joey Wheeler — Reaction — taking a big hit","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close-up of a scruffy blond teenage boy with shaggy hair falling into his eyes, wearing an unzipped green jacket over a white shirt, restless and loose-limbed, recoiling and throwing an arm up to shield their face as a shockwave of light blasts past them, coat and hair whipping back; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"react-shocked-kaiba","react-shocked-kaiba.mp4","duelist","1","4","Seto Kaiba — Reaction — taking a big hit","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close-up of a tall, sharp-featured young man with short dark brown hair and cold pale blue eyes, wearing a long white high-collared coat whose collar flares up past his jaw, sleeves buckled at the wrists, recoiling and throwing an arm up to shield their face as a shockwave of light blasts past them, coat and hair whipping back; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"react-shocked-mai","react-shocked-mai.mp4","duelist","1","4","Mai Valentine — Reaction — taking a big hit","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close-up of a confident blonde woman with long wavy hair past her shoulders, wearing a sleeveless violet jacket and long fingerless gloves, one hip cocked, recoiling and throwing an arm up to shield their face as a shockwave of light blasts past them, coat and hair whipping back; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"react-shocked-yugi","react-shocked-yugi.mp4","duelist","1","4","Yugi Muto — Reaction — taking a big hit","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close-up of a slight teenage boy with dramatic star-shaped black hair tipped with magenta and blond bangs falling over his forehead, wearing a dark blue school jacket with a high collar and a large golden inverted-pyramid pendant on a chain around his neck, recoiling and throwing an arm up to shield their face as a shockwave of light blasts past them, coat and hair whipping back; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"win-joey","win-joey.mp4","duelist","1","6","Joey Wheeler — Victory","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a scruffy blond teenage boy with shaggy hair falling into his eyes, wearing an unzipped green jacket over a white shirt, restless and loose-limbed, standing tall as the last holograms break apart and dissolve around them, Duel Disk powering down, wind pulling at their clothes; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"win-kaiba","win-kaiba.mp4","duelist","1","6","Seto Kaiba — Victory","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a tall, sharp-featured young man with short dark brown hair and cold pale blue eyes, wearing a long white high-collared coat whose collar flares up past his jaw, sleeves buckled at the wrists, standing tall as the last holograms break apart and dissolve around them, Duel Disk powering down, wind pulling at their clothes; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"win-mai","win-mai.mp4","duelist","1","6","Mai Valentine — Victory","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a confident blonde woman with long wavy hair past her shoulders, wearing a sleeveless violet jacket and long fingerless gloves, one hip cocked, standing tall as the last holograms break apart and dissolve around them, Duel Disk powering down, wind pulling at their clothes; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"win-yugi","win-yugi.mp4","duelist","1","6","Yugi Muto — Victory","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. a slight teenage boy with dramatic star-shaped black hair tipped with magenta and blond bangs falling over his forehead, wearing a dark blue school jacket with a high collar and a large golden inverted-pyramid pendant on a chain around his neck, standing tall as the last holograms break apart and dissolve around them, Duel Disk powering down, wind pulling at their clothes; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"intro","intro.mp4","title","1","6","Opening title sequence","AAA 3D cinematic animation, Unreal Engine quality, physically based rendering, volumetric light shafts, chromatic aberration, brushed chrome and carbon fibre, glowing cyan and magenta holographic interface panels, deep blacks, anamorphic lens flares, shallow depth of field, motion blur, 16:9 widescreen, no text, no letters, no logos, no watermark. a camera flies through a vast dark cyber-arena as a forearm duel disk unfolds in extreme close-up, card slots igniting one by one; holographic monster silhouettes bloom and dissolve around it; the camera pulls back hard to reveal the arena floor lighting up in a grid."
"outro","outro.mp4","title","1","6","End of duel","AAA 3D cinematic animation, Unreal Engine quality, physically based rendering, volumetric light shafts, chromatic aberration, brushed chrome and carbon fibre, glowing cyan and magenta holographic interface panels, deep blacks, anamorphic lens flares, shallow depth of field, motion blur, 16:9 widescreen, no text, no letters, no logos, no watermark. the holographic arena powers down: light panels shutting off in sequence, monster silhouettes dissolving into drifting particles, a forearm duel disk folding closed and going dark, camera craning up into black."
"vs-joey-mai","vs-joey-mai.mp4","title","1","6","Versus plate — Duel II","AAA 3D cinematic animation, Unreal Engine quality, physically based rendering, volumetric light shafts, chromatic aberration, brushed chrome and carbon fibre, glowing cyan and magenta holographic interface panels, deep blacks, anamorphic lens flares, shallow depth of field, motion blur, 16:9 widescreen, no text, no letters, no logos, no watermark. a split-screen versus plate: on the left a scruffy blond teenage boy with shaggy hair falling into his eyes, wearing an unzipped green jacket over a white shirt, restless and loose-limbed, on the right a confident blonde woman with long wavy hair past her shoulders, wearing a sleeveless violet jacket and long fingerless gloves, one hip cocked, both rendered as photoreal 3D characters lit from below, facing each other across a jagged energy seam that tears down the centre of frame; holographic card silhouettes and data panels sweep past the camera; the seam flares white on impact."
"vs-yugi-kaiba","vs-yugi-kaiba.mp4","title","1","6","Versus plate — Duel I","AAA 3D cinematic animation, Unreal Engine quality, physically based rendering, volumetric light shafts, chromatic aberration, brushed chrome and carbon fibre, glowing cyan and magenta holographic interface panels, deep blacks, anamorphic lens flares, shallow depth of field, motion blur, 16:9 widescreen, no text, no letters, no logos, no watermark. a split-screen versus plate: on the left a slight teenage boy with dramatic star-shaped black hair tipped with magenta and blond bangs falling over his forehead, wearing a dark blue school jacket with a high collar and a large golden inverted-pyramid pendant on a chain around his neck, on the right a tall, sharp-featured young man with short dark brown hair and cold pale blue eyes, wearing a long white high-collared coat whose collar flares up past his jaw, sleeves buckled at the wrists, both rendered as photoreal 3D characters lit from below, facing each other across a jagged energy seam that tears down the centre of frame; holographic card silhouettes and data panels sweep past the camera; the seam flares white on impact."
"lp-damage","lp-damage.mp4","arena","2","3","Life points dropping","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. extreme close-up of the round life-point counter set into a forearm Duel Disk, the glowing number spinning downward as the housing flashes red and sparks."
"draw-joey","draw-joey.mp4","duelist","2","4","Joey Wheeler — Draw — topdeck moment","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close on a scruffy blond teenage boy with shaggy hair falling into his eyes, wearing an unzipped green jacket over a white shirt, restless and loose-limbed, drawing a single card from the Duel Disk deck holder and turning it over, eyes widening as light catches the card face; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
"draw-kaiba","draw-kaiba.mp4","duelist","2","4","Seto Kaiba — Draw — topdeck moment","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close on a tall, sharp-featured young man with short dark brown hair and cold pale blue eyes, wearing a long white high-collared coat whose collar flares up past his jaw, sleeves buckled at the wrists, drawing a single card from the Duel Disk deck holder and turning it over, eyes widening as light catches the card face; a rain-slicked skyscraper rooftop duel arena at night, city lights far below, holographic projector pylons humming at the edges."
"draw-mai","draw-mai.mp4","duelist","2","4","Mai Valentine — Draw — topdeck moment","late-1990s cel-shaded anime, hand-inked outlines, saturated colour, visible film grain, dramatic low camera angle, shallow depth of field, 16:9 widescreen, no text, no subtitles, no captions, no logos, no watermark. A holographic trading-card duel. Each duelist wears a metal Duel Disk clamped to their left forearm: a curved silver-and-grey blade with five illuminated card slots swung out into a wide arc, and a round glowing life-point counter set into the housing. Cards are slotted in by hand. Monsters appear as huge translucent light-emitting holograms projected upward from the disk, with visible scan lines and flickering edges. close on a confident blonde woman with long wavy hair past her shoulders, wearing a sleeveless violet jacket and long fingerless gloves, one hip cocked, drawing a single card from the Duel Disk deck holder and turning it over, eyes widening as light catches the card face; a torch-lit stone duel arena on a sea cliff at dusk, banners snapping in the wind, waves breaking far below."
